date,type,axs_fee,weth_fee,nft_type
2024-12-17,atiablessing,5255.755580678496890285,0,"No NFT Transfer"
2024-12-17,evolution,94347.422422942079579734,0,Material
2024-12-17,sale,0,0.345479997324798948,Accessory
2024-12-17,sale,0,1.261667101261703149,"Land Item"
2024-12-17,rc-mint,42930.647772862546713663,0,Charm
2024-12-17,sale,0,1.73828184450850,Charm
2024-12-17,sale,0,0.000739671765943216,"No NFT Transfer"
2024-12-17,ascension,71100.087461911908142010,0,"No NFT Transfer"
2024-12-17,rc-mint,74218.372948802135718251,0,Rune
2024-12-17,ascension,1836.028351930625089785,0,Material
2024-12-17,sale,0,59.891572225972586143,Land
2024-12-17,sale,0,4.03685373622550,Rune
2024-12-17,sale,7854.323264882585314184,26.114070891335597923,Material
2024-12-17,sale,11241.633848905079504189,8.167712206971347983,"Consumable Item"
2024-12-17,sale,8719.0,138.089027425638405745,Axie
2024-12-17,breeding,29493.0,0,Axie
2024-12-17,breeding,1.5,0,"No NFT Transfer"
2024-12-17,evolution,2.096950338218980357,0,"No NFT Transfer"
