date,type,axs_fee,weth_fee,nft_type
2024-12-17,atiablessing,6390.137916721571813480,0,"No NFT Transfer"
2024-12-17,evolution,133939.077596750172017604,0,Material
2024-12-17,sale,0,0.691687635235701843,Accessory
2024-12-17,sale,0,3.587644187070380915,"Land Item"
2024-12-17,rc-mint,88954.290562192031364844,0,Charm
2024-12-17,sale,0,5.249676561655968748,Charm
2024-12-17,rc-mint,47.871321845407473777,0,"No NFT Transfer"
2024-12-17,sale,0,0.239904208138043848,"No NFT Transfer"
2024-12-17,ascension,100418.806041608528191659,0,"No NFT Transfer"
2024-12-17,rc-mint,126644.806547366882209521,0,Rune
2024-12-17,atiablessing,0.7150996785379521,0,Axie
2024-12-17,ascension,1929.480815173119031503,0,Material
2024-12-17,sale,0,238.959573489473126126,Land
2024-12-17,sale,0,10.292946629720499994,Rune
2024-12-17,sale,7854.323264882585314184,38.666187094102712249,Material
2024-12-17,sale,11241.633848905079504189,9.475053200825797796,"Consumable Item"
2024-12-17,sale,8719.0,286.942575574435055202,Axie
2024-12-17,breeding,69593.5,0,Axie
2024-12-17,breeding,41.0,0,"No NFT Transfer"
2024-12-17,evolution,98.663051758620014472,0,"No NFT Transfer"
