date,type,axs_fee,weth_fee,nft_type
2024-12-17,ascension,193.933639829275730134,0,Material
2024-12-17,ascension,2149.388037071037282983,0,"No NFT Transfer"
2024-12-17,atiablessing,93.295215683419350390,0,"No NFT Transfer"
2024-12-17,evolution,2529.906819933584810431,0,Material
2024-12-17,rc-mint,375.157766318248254097,0,Charm
2024-12-17,rc-mint,1887.079223857779742737,0,Rune
2024-12-17,sale,0,0.008938056712962962,Accessory
2024-12-17,sale,363.0,2.950352041416658103,Axie
2024-12-17,sale,0,0.0182657458795,Charm
2024-12-17,sale,532.870323415686209780,0.3635797266750,"Consumable Item"
2024-12-17,sale,0,0.693892014223765388,Land
2024-12-17,sale,0,0.112986643016203700,"Land Item"
2024-12-17,sale,343.003980613741032170,0.731617229070781799,Material
2024-12-17,sale,0,0.1444103271775,Rune
