date,type,axs_fee,weth_fee,nft_type
2024-12-17,ascension,868.761719489990101890,0,Material
2024-12-17,ascension,15365.401673567954788456,0,"No NFT Transfer"
2024-12-17,atiablessing,523.944226161637843670,0,"No NFT Transfer"
2024-12-17,evolution,31769.777906983502940720,0,Material
2024-12-17,evolution,0.354102380449180392,0,"No NFT Transfer"
2024-12-17,rc-mint,5147.196342844761679961,0,Charm
2024-12-17,rc-mint,14185.449413936333549886,0,Rune
2024-12-17,sale,0,0.063592118150462956,Accessory
2024-12-17,sale,2621.0,23.199852522165923851,Axie
2024-12-17,sale,0,0.09927960892350,Charm
2024-12-17,sale,8256.667571967643882256,5.720718985242499998,"Consumable Item"
2024-12-17,sale,0,7.513271130025820153,Land
2024-12-17,sale,0,0.868156885401074714,"Land Item"
2024-12-17,sale,5769.923145654534817454,14.906793527424135920,Material
2024-12-17,sale,0,0.54547931632275,Rune
