date,type,axs_fee,weth_fee,nft_type
2024-12-17,direct,22216798.247722365660809632,57400.847535673255213591,"No NFT Transfer"
2024-12-17,atiablessing,6390.137916721571813480,0,"No NFT Transfer"
2024-12-17,evolution,133939.077596750172017604,0,Material
2024-12-17,sale,0,2.796105008643275555,Accessory
2024-12-17,sale,0,21.841570487661934214,"Land Item"
2024-12-17,rc-mint,161135.263107897932400139,0,Charm
2024-12-17,sale,0,44.676375745117423096,Charm
2024-12-17,rc-mint,49.777829902288677633,0,"No NFT Transfer"
2024-12-17,sale,0,0.245623926852371359,"No NFT Transfer"
2024-12-17,ascension,101395.788050496457134679,0,"No NFT Transfer"
2024-12-17,rc-mint,209774.026562030710877571,0,Rune
2024-12-17,atiablessing,0.7150996785379521,0,Axie
2024-12-17,ascension,1952.156936301803576977,0,Material
2024-12-17,sale,0,491.069244880529107907,Land
2024-12-17,sale,0,64.597287457407973766,Rune
2024-12-17,sale,7854.323264882585314184,39.124606780334712249,Material
2024-12-17,sale,11241.633848905079504189,9.535413433395547796,"Consumable Item"
2024-12-17,sale,8719.0,900.376701032249035366,Axie
2024-12-17,breeding,159387.5,0,Axie
2024-12-17,breeding,42.0,0,"No NFT Transfer"
2024-12-17,evolution,98.663051758620014472,0,"No NFT Transfer"
