date,axs_fee,weth_fee
2024-11-17,402.260491935382142986,0.312329697438012661
2024-11-18,1997.036768354782562641,1.506164283151224979
2024-11-19,1596.009161003934413356,0.993936454297903931
2024-11-20,1846.372100667759508123,1.373932238508219820
2024-11-21,10388.689419118497684397,3.452413150940676008
2024-11-22,3433.638978365770883032,1.522051612652853906
2024-11-23,2444.464140203932270293,1.746521576212790488
2024-11-24,1982.877596284984227229,1.292126581267110195
2024-11-25,1926.116617612797911922,1.269398695242987714
2024-11-26,1961.362914172939531482,2.922662705454566987
2024-11-27,1702.784062467405806650,1.048597625605736050
2024-11-28,1745.262377553838471260,1.092493142936363366
2024-11-29,509.814377979504212862,0.427859918390492184
2024-11-30,495.509939298938103030,0.334374982307506660
2024-12-01,415.907132982604355391,0.252377822927195426
2024-12-02,416.506013821108217423,0.407202433123818920
2024-12-03,507.097873295627608776,0.626032966449106708
2024-12-04,1058.774155567883392643,1.188951024062725343
2024-12-05,1696.290162097421976025,1.085244981207350874
2024-12-06,1385.904618569387745638,1.236285300413156310
2024-12-07,1262.755956072013356631,1.041026140325994729
2024-12-08,1164.532114410404274436,0.836890849089064048
2024-12-09,1166.877159561984318905,1.129516160986247418
2024-12-10,1594.575427450121414989,0.878771731065662466
2024-12-11,1335.129792253039762922,0.801069040042680436
2024-12-12,1217.260023945350207539,0.771614778744116991
2024-12-13,452.217169169358010511,0.274719272688531897
2024-12-14,468.032753813802797027,0.398301397303110974
2024-12-15,482.366489882271751953,0.518491294917608235
2024-12-16,559.574258938220882758,0.357224828708768083
2024-12-17,285.139482470197008048,0.204436564901441662
