date,axs_fee,weth_fee
2022-10,22027635.524759484872065775,57499.671971909768122671
2022-11,0,95.314408200181433547
2022-12,0,58.480355190528553070
2023-01,0,96.223445273819900650
2023-02,0,60.239483721777537012
2023-03,0,71.676011791429933802
2023-04,0,46.628466168920820282
2023-05,179972.366124763431080573,43.848411650719888832
2023-06,30099.912814636326992709,29.923055091591888395
2023-07,19233.467072444074073392,27.281617483415890576
2023-08,41492.880962774939643379,39.065884149611014907
2023-09,17330.530218108618542116,37.713721725563601051
2023-10,35769.710346053603698595,35.794805966168972009
2023-11,19353.154261955756529193,34.792361313888504362
2023-12,10869.541795607207173380,53.709162771404360224
2024-01,26668.138263941095098652,71.173839679772472977
2024-02,35014.624605189727946411,50.916173627890320062
2024-03,11642.279428855441573189,26.917869874786085722
2024-04,19542.754782180736668293,22.210370053946509016
2024-05,29134.719582335423053297,24.272815955034807915
2024-06,27043.428425563547462767,42.611111281399703996
2024-07,37863.625317262566665993,23.087723077364082818
2024-08,30531.909022215861072485,30.088636808917550151
2024-09,44660.979776224781489456,33.351632764839123509
2024-10,35905.772291447139049628,31.111341151171878674
2024-11,50454.734871334372468598,32.926881416391380008
2024-12,15468.940584300797081615,12.008270857176074566
