date,axs_fee,weth_fee
2024-01,26668.138263941095098652,71.173839679772472977
2024-02,35014.624605189727946411,50.916173627890320062
2024-03,11642.279428855441573189,26.917869874786085722
2024-04,19542.754782180736668293,22.210370053946509016
2024-05,29134.719582335423053297,24.272815955034807915
2024-06,27043.428425563547462767,42.611111281399703996
2024-07,37863.625317262566665993,23.087723077364082818
2024-08,30531.909022215861072485,30.088636808917550151
2024-09,44660.979776224781489456,33.351632764839123509
2024-10,35905.772291447139049628,31.111341151171878674
2024-11,50454.734871334372468598,32.926881416391380008
2024-12,15468.940584300797081615,12.008270857176074566
